poi_id,lon,lat,category
node/357828790,126.93055,37.52243,transit
node/357828796,126.93933,37.54686,transit
node/357828799,126.9348428,37.5540414,transit
node/357828809,126.9273784,37.5235457,transit
node/357828819,126.9222202,37.4997908,transit
node/357828821,126.9264477,37.4996845,transit
node/357828825,126.9272196,37.4946419,transit
node/357828854,126.9305097,37.5183048,transit
node/357828926,126.98269,37.57458,transit
node/357828953,126.9181132,37.5282831,transit
node/357828974,126.962363,37.5515232,transit
node/357828979,126.95878,37.54813,transit
node/357828987,126.9453,37.54649,transit
node/357828989,126.984779,37.5687657,transit
node/357828991,126.9907017,37.5684243,transit
node/357829025,126.94602,37.55418,transit
node/357829026,126.94599,37.55577,transit
node/357829073,127.00799,37.56991,transit
node/357829083,126.9964607,37.5688202,transit
node/357829085,126.9938553,37.56867,transit
node/357829087,127.0028932,37.5698114,transit
node/357829089,126.9991105,37.5692606,transit
node/357829232,126.9022,37.56222,transit
node/357829262,126.90682,37.56399,transit
node/357829391,126.9436258,37.5630759,transit
node/357829423,126.9571816,37.5571976,transit
node/357829449,126.9016627,37.571527,transit
node/357829625,126.975413,37.5636425,transit
node/357829629,126.982965,37.5722457,transit
node/357829705,126.96134,37.57082,transit
node/357829722,126.9968857,37.5789144,transit
node/357829784,126.9014858,37.5714179,transit
node/357829844,126.9037576,37.5698901,transit
node/357829854,126.90841,37.56798,transit
node/357829863,126.9355554,37.5601546,transit
node/357829874,126.936954,37.5581112,transit
node/357830071,127.0157803,37.5718721,transit
node/357830082,127.0091373,37.5695694,transit
node/357830088,127.03474,37.58812,transit
node/357830108,127.03224,37.58552,transit
node/357830114,127.03002,37.58279,transit
node/357830122,126.9831138,37.568649,transit
node/357830126,126.9885517,37.5679056,transit
node/357830135,127.0006563,37.5691733,transit
node/357830139,127.0044401,37.56935,transit
node/357830144,126.9928205,37.5681502,transit
node/357830150,126.9971198,37.5685455,transit
node/357830259,127.0833823,37.5848993,transit
node/357830266,127.08369,37.5868,transit
node/357830427,127.0835911,37.5817989,transit
node/357830430,127.0809155,37.5785314,transit
node/357830433,127.0713442,37.5478242,transit
node/357830466,127.0709852,37.5408895,transit
node/357830469,127.07221,37.5437,transit
node/357830477,127.0281189,37.5230982,transit
node/357830517,127.0450533,37.5265347,transit
node/357830522,127.051334,37.5244928,transit
node/357830538,127.0252663,37.5253868,transit
node/357830618,127.0308463,37.5637208,transit
node/357830630,127.0300846,37.5678399,transit
node/357830672,126.9993378,37.5667814,transit
node/357830711,126.977563,37.54574,transit
node/357830721,126.9717837,37.5496825,transit
node/357830740,126.9783501,37.5467903,transit
node/357830753,126.9736829,37.5584008,transit
node/357830790,126.9887106,37.5661004,transit
node/357830836,127.0303632,37.5688087,transit
node/357830846,127.03066,37.57617,transit
node/357831016,127.0552385,37.5877274,transit
node/357831346,126.9862298,37.5702173,transit
node/357831618,126.9071016,37.5165734,transit
node/357831746,127.0831369,37.5956738,transit
node/357831768,127.03069,37.57269,transit
node/357831778,127.0240516,37.5609522,transit
node/357831780,127.0243056,37.5622797,transit
node/357831782,127.0268876,37.5561348,transit
node/357831784,127.0239123,37.5589241,transit
node/357831796,127.0183296,37.5461132,transit
node/357831798,127.0305563,37.5497701,transit
node/357831802,127.03441,37.55527,transit
node/357831806,127.02872,37.55705,transit
node/357831809,127.03297,37.55836,transit
node/357831825,127.0083196,37.532829,transit
node/357831827,127.01126,37.54088,transit
node/357831843,127.0323028,37.5102565,transit
node/357831851,127.0308597,37.5501401,transit
node/357831852,127.02713,37.54814,transit
node/357831862,127.01096,37.54086,transit
node/357831870,127.0339649,37.5578858,transit
node/357831872,127.0289,37.55697,transit
node/357831874,127.0256648,37.5556317,transit
